s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
PL09682	481490	chrom1	2	g92616	16541139	scaffold_18	162	H+Q
PL11154	2031214	chrom1	14	g89341	335905	scaffold_18	2	H+Q
PL09974	12579190	chrom1	105	g98904	47972878	scaffold_18	569	H+Q
PL08376	13970439	chrom1	121	g100559	55195379	scaffold_18	643	H+Q
PL10832	24805291	chrom1	269	g95473	30993241	scaffold_18	338	H+Q
PL09746	32964380	chrom1	361	g94919	27854790	scaffold_18	302	H+Q
PL09894	32971783	chrom1	362	g94918	27850485	scaffold_18	301	H+Q
PL10911	34543132	chrom1	377	g100926	56431734	scaffold_18	660	H+Q
PL08797	44659830	chrom1	468	g101199	57609314	scaffold_18	668	H+Q
PL11354	63070102	chrom1	684	g92884	18094137	scaffold_18	191	H+Q
PL09302	63131178	chrom1	687	g96780	37561346	scaffold_18	425	H+Q
PL09430	63605255	chrom1	690	g98780	47405361	scaffold_18	550	H+Q
PL10960	67396774	chrom1	738	g95436	30793722	scaffold_18	336	H+Q
PL08623	78433878	chrom1	852	g99695	51595461	scaffold_18	616	H+Q
PL10849	12126643	chrom1	103	g137890	49263209	scaffold_2	1200	B2+M
PL10827	20320405	chrom1	220	g137244	46605847	scaffold_2	1180	B2+M
PL09074	32524625	chrom1	357	g129207	8553849	scaffold_2	776	B2+M
PL08572	33786744	chrom1	366	g136014	42061866	scaffold_2	1124	B2+M
PL10558	34210229	chrom1	369	g137342	47044413	scaffold_2	1185	B2+M
PL09383	36340414	chrom1	387	g132030	21944799	scaffold_2	913	B2+M
PL10005	41509947	chrom1	433	g132695	25546308	scaffold_2	952	B2+M
PL09616	46748755	chrom1	494	g138281	51003267	scaffold_2	1223	B2+M
PL09777	51543923	chrom1	557	g132486	24592137	scaffold_2	936	B2+M
PL09068	54298603	chrom1	588	g137372	47220721	scaffold_2	1186	B2+M
PL10208	73056044	chrom1	798	g134021	33529314	scaffold_2	1026	B2+M
PL11011	74206667	chrom1	812	g130566	14869143	scaffold_2	847	B2+M
PL08909	6417462	chrom1	44	g157215	16951877	scaffold_4	1502	A1
PL08283	6520597	chrom1	45	g161373	37690397	scaffold_4	1799	A1
PL11215	6613885	chrom1	46	g159324	27643333	scaffold_4	1661	A1
PL08000	6677623	chrom1	47	g160095	31583286	scaffold_4	1714	A1
PL08553	6710093	chrom1	48	g153694	716937	scaffold_4	1271	A1
PL08128	6886520	chrom1	49	g153699	748134	scaffold_4	1273	A1
PL10553	6892041	chrom1	50	g157323	17503044	scaffold_4	1511	A1
PL10590	6905980	chrom1	51	g153948	2018494	scaffold_4	1289	A1
PL10955	6978846	chrom1	52	g159173	26835373	scaffold_4	1652	A1
PL09853	7272537	chrom1	54	g156320	12995313	scaffold_4	1444	A1
PL08911	7277640	chrom1	55	g154005	2296907	scaffold_4	1296	A1
PL09776	7507103	chrom1	57	g160860	35083678	scaffold_4	1758	A1
PL09841	7606625	chrom1	58	g155763	10440142	scaffold_4	1404	A1
PL10434	7658459	chrom1	59	g156491	13584587	scaffold_4	1455	A1
PL08083	7658501	chrom1	60	g156479	13564310	scaffold_4	1454	A1
PL10511	7730634	chrom1	61	g155237	8138218	scaffold_4	1365	A1
PL09308	7825963	chrom1	62	g160760	34566058	scaffold_4	1746	A1
PL09935	7826586	chrom1	63	g157208	16927127	scaffold_4	1500	A1
PL10094	7844345	chrom1	64	g155552	9217173	scaffold_4	1383	A1
PL08612	7926489	chrom1	66	g156259	12643745	scaffold_4	1443	A1
PL10345	8026331	chrom1	67	g155193	7897582	scaffold_4	1359	A1
PL10163	8205670	chrom1	68	g155212	8011826	scaffold_4	1360	A1
PL10416	8352601	chrom1	69	g163130	47103374	scaffold_4	1887	A1
PL11208	8517361	chrom1	70	g154090	2697842	scaffold_4	1298	A1
PL09477	8914109	chrom1	71	g157281	17263229	scaffold_4	1506	A1
PL09106	9004824	chrom1	72	g157257	17147084	scaffold_4	1504	A1
PL09643	9016559	chrom1	73	g154442	4441903	scaffold_4	1318	A1
PL09270	9054574	chrom1	74	g157530	18546523	scaffold_4	1532	A1
PL11079	9074753	chrom1	75	g157526	18534622	scaffold_4	1531	A1
PL09848	9334314	chrom1	76	g154327	4002460	scaffold_4	1313	A1
PL11221	9334550	chrom1	77	g157123	16463641	scaffold_4	1494	A1
PL10966	9659550	chrom1	78	g161434	37991742	scaffold_4	1806	A1
PL09605	9831753	chrom1	79	g158063	21281201	scaffold_4	1570	A1
PL10988	9991913	chrom1	80	g154677	5460347	scaffold_4	1332	A1
PL11205	10030808	chrom1	81	g156433	13421608	scaffold_4	1452	A1
PL09740	10371557	chrom1	82	g164076	52192589	scaffold_4	1951	A1
PL09489	10781855	chrom1	83	g157716	19361736	scaffold_4	1550	A1
PL10359	10807934	chrom1	84	g161347	37550019	scaffold_4	1797	A1
PL09319	10824070	chrom1	85	g156842	15290776	scaffold_4	1472	A1
PL08769	10880905	chrom1	86	g156928	15620543	scaffold_4	1482	A1
PL08880	10985861	chrom1	88	g158402	22985523	scaffold_4	1589	A1
PL10151	11040492	chrom1	90	g158447	23178161	scaffold_4	1592	A1
PL09667	11048087	chrom1	91	g156323	13066122	scaffold_4	1445	A1
PL09726	11177311	chrom1	92	g160729	34401808	scaffold_4	1741	A1
PL09502	11305125	chrom1	93	g160740	34496610	scaffold_4	1742	A1
PL10560	11313689	chrom1	94	g160744	34515500	scaffold_4	1743	A1
PL09748	11318982	chrom1	95	g160753	34525796	scaffold_4	1744	A1
PL09243	11331734	chrom1	96	g160754	34532413	scaffold_4	1745	A1
PL08279	11646650	chrom1	97	g163269	47833876	scaffold_4	1897	A1
PL09910	11698601	chrom1	98	g155971	11225042	scaffold_4	1418	A1
PL09044	11709927	chrom1	99	g163601	49677746	scaffold_4	1923	A1
PL09804	11737766	chrom1	100	g163566	49440450	scaffold_4	1915	A1
PL09588	11878855	chrom1	101	g160770	34613645	scaffold_4	1748	A1
PL11316	11976285	chrom1	102	g163689	50113333	scaffold_4	1927	A1
PL10222	12315475	chrom1	104	g158671	24168308	scaffold_4	1614	A1
PL09035	12789264	chrom1	106	g157082	16306048	scaffold_4	1491	A1
PL10330	12833535	chrom1	107	g157067	16259384	scaffold_4	1490	A1
PL10860	12870144	chrom1	108	g162917	46033520	scaffold_4	1881	A1
PL08997	13277949	chrom1	109	g162879	45617898	scaffold_4	1880	A1
PL09039	13458958	chrom1	111	g160938	35549912	scaffold_4	1763	A1
PL10034	13484946	chrom1	112	g160919	35465321	scaffold_4	1762	A1
PL09439	13535049	chrom1	113	g156419	13393828	scaffold_4	1450	A1
PL09182	13590063	chrom1	114	g156428	13410958	scaffold_4	1451	A1
PL09592	13622585	chrom1	115	g161292	37352280	scaffold_4	1791	A1
PL08253	13683212	chrom1	116	g158242	22205094	scaffold_4	1584	A1
PL10902	13779289	chrom1	117	g155249	8174720	scaffold_4	1366	A1
PL10774	13806885	chrom1	118	g160353	32683401	scaffold_4	1723	A1
PL09856	13914831	chrom1	119	g158442	23147804	scaffold_4	1590	A1
PL08232	13942771	chrom1	120	g155793	10573435	scaffold_4	1409	A1
PL08225	14046437	chrom1	122	g153863	1633715	scaffold_4	1284	A1
PL11367	14099384	chrom1	123	g158162	21697977	scaffold_4	1575	A1
PL09563	14138324	chrom1	124	g161060	36125883	scaffold_4	1771	A1
PL08834	14193182	chrom1	125	g155783	10523818	scaffold_4	1407	A1
PL11055	14227101	chrom1	126	g161212	36834225	scaffold_4	1780	A1
PL10765	14275893	chrom1	127	g159979	30945026	scaffold_4	1707	A1
PL10942	14367569	chrom1	128	g161382	37744499	scaffold_4	1800	A1
PL11260	14509859	chrom1	130	g155735	10292074	scaffold_4	1401	A1
PL11112	14663619	chrom1	131	g155722	10163941	scaffold_4	1400	A1
PL08569	14981812	chrom1	132	g155834	10730532	scaffold_4	1412	A1
PL09934	15098049	chrom1	134	g156227	12514763	scaffold_4	1442	A1
PL10295	15188807	chrom1	136	g159868	30413452	scaffold_4	1703	A1
PL08231	15188917	chrom1	137	g161721	39509716	scaffold_4	1823	A1
PL10261	15370526	chrom1	138	g161903	40345134	scaffold_4	1835	A1
PL11029	15427135	chrom1	139	g160705	34239260	scaffold_4	1739	A1
PL09609	15533523	chrom1	140	g158218	22110771	scaffold_4	1581	A1
PL09281	15642292	chrom1	141	g157780	19651357	scaffold_4	1556	A1
PL10727	15948734	chrom1	142	g155585	9405105	scaffold_4	1386	A1
PL10423	16077372	chrom1	143	g154541	4792673	scaffold_4	1321	A1
PL09360	16201223	chrom1	144	g162024	41107759	scaffold_4	1843	A1
PL08047	16260702	chrom1	145	g157439	18096183	scaffold_4	1525	A1
PL09451	16283009	chrom1	146	g161258	37190043	scaffold_4	1784	A1
PL08399	16456704	chrom1	147	g159669	29398340	scaffold_4	1694	A1
PL09287	16523011	chrom1	148	g157936	20582337	scaffold_4	1564	A1
PL10730	16534632	chrom1	149	g163339	48307094	scaffold_4	1900	A1
PL08344	16568773	chrom1	150	g163340	48311711	scaffold_4	1901	A1
PL09499	16611238	chrom1	151	g163721	50283139	scaffold_4	1929	A1
PL08351	16647280	chrom1	152	g163714	50245923	scaffold_4	1928	A1
PL08052	16663553	chrom1	153	g160086	31555166	scaffold_4	1713	A1
PL09665	16683179	chrom1	154	g156004	11357903	scaffold_4	1422	A1
PL10036	16683413	chrom1	155	g158881	25291965	scaffold_4	1631	A1
PL08942	16795212	chrom1	156	g160081	31534315	scaffold_4	1712	A1
PL11364	16826935	chrom1	157	g154174	2998943	scaffold_4	1304	A1
PL09132	16844754	chrom1	158	g154175	3007156	scaffold_4	1305	A1
PL10153	16909780	chrom1	159	g163591	49636405	scaffold_4	1921	A1
PL10729	16974773	chrom1	160	g163588	49609321	scaffold_4	1920	A1
PL09598	16995286	chrom1	161	g156150	12097715	scaffold_4	1431	A1
PL09105	17020489	chrom1	162	g159993	31012569	scaffold_4	1709	A1
PL09880	17067762	chrom1	163	g159279	27393227	scaffold_4	1656	A1
PL09873	17162304	chrom1	164	g154648	5339587	scaffold_4	1326	A1
PL10239	17221410	chrom1	165	g163500	49078545	scaffold_4	1909	A1
PL08157	17234481	chrom1	166	g157409	17986850	scaffold_4	1519	A1
PL10477	17315682	chrom1	167	g153698	739831	scaffold_4	1272	A1
PL09452	17358766	chrom1	168	g156588	14048748	scaffold_4	1460	A1
PL08154	17418506	chrom1	169	g154828	6129251	scaffold_4	1346	A1
PL10038	17418800	chrom1	170	g154826	6119660	scaffold_4	1345	A1
PL09162	17443325	chrom1	171	g154820	6100375	scaffold_4	1344	A1
PL08425	17670683	chrom1	172	g161917	40409815	scaffold_4	1837	A1
PL11223	17712910	chrom1	173	g155218	8052331	scaffold_4	1361	A1
PL09745	17713001	chrom1	174	g153720	845499	scaffold_4	1275	A1
PL08878	17756232	chrom1	175	g158256	22273568	scaffold_4	1586	A1
PL08264	17776170	chrom1	176	g154358	4110111	scaffold_4	1315	A1
PL09284	17821917	chrom1	177	g155612	9577074	scaffold_4	1388	A1
PL09140	17929384	chrom1	179	g153789	1250416	scaffold_4	1278	A1
PL09850	17929893	chrom1	180	g153786	1233259	scaffold_4	1277	A1
PL09865	18136146	chrom1	181	g163579	49513085	scaffold_4	1919	A1
PL10745	18157896	chrom1	182	g160328	32577783	scaffold_4	1722	A1
PL10677	18173630	chrom1	183	g160620	33838619	scaffold_4	1734	A1
PL08062	18249541	chrom1	184	g157061	16224061	scaffold_4	1489	A1
PL09840	18356977	chrom1	185	g162405	43078183	scaffold_4	1869	A1
PL08261	18676196	chrom1	186	g162731	44578862	scaffold_4	1877	A1
PL10815	18836938	chrom1	188	g154509	4715968	scaffold_4	1320	A1
PL08327	18942866	chrom1	189	g153656	542183	scaffold_4	1267	A1
PL08721	18994943	chrom1	190	g159121	26587698	scaffold_4	1647	A1
PL09496	19023306	chrom1	191	g158443	23155103	scaffold_4	1591	A1
PL09584	19057379	chrom1	192	g153611	371047	scaffold_4	1264	A1
PL11033	19130704	chrom1	193	g158605	23849500	scaffold_4	1611	A1
PL08649	19197871	chrom1	194	g159497	28400250	scaffold_4	1679	A1
PL10023	19270229	chrom1	195	g163872	51164594	scaffold_4	1938	A1
PL09394	19274801	chrom1	196	g157426	18040653	scaffold_4	1522	A1
PL08400	19287677	chrom1	197	g157432	18064140	scaffold_4	1523	A1
PL08548	19289996	chrom1	198	g157436	18077545	scaffold_4	1524	A1
PL10636	19370395	chrom1	200	g157645	19047812	scaffold_4	1540	A1
PL08770	19521722	chrom1	201	g159964	30745792	scaffold_4	1704	A1
PL08949	19567344	chrom1	202	g157047	16140519	scaffold_4	1488	A1
PL10868	19600868	chrom1	203	g157046	16138976	scaffold_4	1487	A1
PL09335	19609116	chrom1	204	g159100	26501062	scaffold_4	1645	A1
PL08799	19617132	chrom1	205	g159096	26478440	scaffold_4	1644	A1
PL09333	19691512	chrom1	206	g159819	30159272	scaffold_4	1699	A1
PL10484	19720124	chrom1	207	g163811	50867923	scaffold_4	1932	A1
PL08379	19772386	chrom1	208	g159131	26631101	scaffold_4	1651	A1
PL08825	19956039	chrom1	210	g157616	18883925	scaffold_4	1537	A1
PL10101	19959784	chrom1	211	g162603	44018228	scaffold_4	1876	A1
PL09817	20003921	chrom1	212	g160323	32551451	scaffold_4	1720	A1
PL10603	20043179	chrom1	213	g156389	13302079	scaffold_4	1447	A1
PL09986	20094942	chrom1	214	g157326	17511415	scaffold_4	1512	A1
PL09341	20133307	chrom1	215	g159293	27463705	scaffold_4	1658	A1
PL09254	20136967	chrom1	216	g159299	27481035	scaffold_4	1659	A1
PL09585	20194583	chrom1	217	g163186	47461661	scaffold_4	1892	A1
PL08251	20225158	chrom1	218	g163183	47430320	scaffold_4	1891	A1
PL10221	20316061	chrom1	219	g154860	6260154	scaffold_4	1349	A1
PL08162	20437613	chrom1	222	g154063	2467610	scaffold_4	1297	A1
PL09010	20605033	chrom1	223	g157421	18012495	scaffold_4	1520	A1
PL09498	20731883	chrom1	224	g159521	28516701	scaffold_4	1680	A1
PL08669	20970048	chrom1	227	g155158	7730661	scaffold_4	1358	A1
PL09583	21435847	chrom1	229	g159334	27698991	scaffold_4	1662	A1
PL08838	21595426	chrom1	230	g162373	42893752	scaffold_4	1865	A1
PL10793	21760305	chrom1	231	g164186	52753532	scaffold_4	1955	A1
PL11224	21946201	chrom1	233	g163250	47736740	scaffold_4	1896	A1
PL09956	22133769	chrom1	234	g160240	32213340	scaffold_4	1716	A1
PL08587	22265213	chrom1	236	g164084	52263225	scaffold_4	1952	A1
PL09639	22299158	chrom1	237	g160101	31613526	scaffold_4	1715	A1
PL09315	22367827	chrom1	238	g153927	1902742	scaffold_4	1288	A1
PL10968	22377920	chrom1	239	g159002	25885304	scaffold_4	1642	A1
PL08480	22454098	chrom1	240	g161482	38238542	scaffold_4	1810	A1
PL10422	22572678	chrom1	241	g156160	12154267	scaffold_4	1433	A1
PL10074	22604733	chrom1	242	g156157	12138906	scaffold_4	1432	A1
PL10641	22655525	chrom1	243	g161996	40963796	scaffold_4	1841	A1
PL10115	22664682	chrom1	244	g158787	24666098	scaffold_4	1629	A1
PL10905	22712299	chrom1	245	g157424	18030617	scaffold_4	1521	A1
PL08396	22712590	chrom1	246	g163429	48752837	scaffold_4	1906	A1
PL10299	22727125	chrom1	247	g158955	25649852	scaffold_4	1640	A1
PL09380	22744504	chrom1	248	g158960	25664863	scaffold_4	1641	A1
PL09086	22769039	chrom1	249	g159607	29034201	scaffold_4	1687	A1
PL10701	22780606	chrom1	250	g154690	5515514	scaffold_4	1335	A1
PL09366	22827532	chrom1	251	g156443	13444955	scaffold_4	1453	A1
PL10066	22839508	chrom1	252	g163194	47483604	scaffold_4	1893	A1
PL10064	22865964	chrom1	253	g162987	46521264	scaffold_4	1886	A1
PL08036	23032079	chrom1	254	g158465	23245309	scaffold_4	1594	A1
PL07988	23164840	chrom1	255	g158385	22876065	scaffold_4	1588	A1
PL09866	23282842	chrom1	256	g162345	42743668	scaffold_4	1862	A1
PL08096	23458851	chrom1	257	g154237	3322827	scaffold_4	1308	A1
PL08206	23613297	chrom1	258	g154273	3591218	scaffold_4	1309	A1
PL08926	23909844	chrom1	259	g154301	3837439	scaffold_4	1310	A1
PL09165	24088545	chrom1	260	g154204	3126449	scaffold_4	1307	A1
PL10628	24109866	chrom1	261	g154201	3110452	scaffold_4	1306	A1
PL11139	24191048	chrom1	262	g153838	1506869	scaffold_4	1282	A1
PL08890	24281084	chrom1	263	g153851	1600074	scaffold_4	1283	A1
PL08112	24647568	chrom1	266	g161821	39899497	scaffold_4	1827	A1
PL08715	24710921	chrom1	267	g157297	17349370	scaffold_4	1508	A1
PL10880	24834191	chrom1	271	g158952	25637946	scaffold_4	1639	A1
PL10694	25049053	chrom1	273	g156640	14363901	scaffold_4	1463	A1
PL09802	25116908	chrom1	274	g160987	35780728	scaffold_4	1767	A1
PL11201	25184242	chrom1	275	g160806	34789698	scaffold_4	1753	A1
PL08151	25216789	chrom1	276	g160804	34785320	scaffold_4	1752	A1
PL08466	25229353	chrom1	277	g160803	34774349	scaffold_4	1751	A1
PL08667	25271593	chrom1	278	g163830	50937278	scaffold_4	1937	A1
PL10970	25297886	chrom1	279	g155091	7438304	scaffold_4	1354	A1
PL08695	25466780	chrom1	281	g153957	2084662	scaffold_4	1290	A1
PL09790	25467107	chrom1	282	g162118	41661958	scaffold_4	1852	A1
PL08908	25495860	chrom1	283	g160978	35734169	scaffold_4	1766	A1
PL08349	25517016	chrom1	284	g157698	19272746	scaffold_4	1547	A1
PL11002	25582363	chrom1	286	g160325	32560967	scaffold_4	1721	A1
PL09690	25662033	chrom1	287	g161815	39887449	scaffold_4	1826	A1
PL08321	25781495	chrom1	288	g159423	28110633	scaffold_4	1673	A1
PL10400	25781875	chrom1	289	g159420	28102539	scaffold_4	1672	A1
PL10431	25816681	chrom1	290	g156904	15518069	scaffold_4	1479	A1
