	gid	gname	Strata	Module	ModuleDesc
0	PL00071	pol4-65	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
1	PL00081	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
2	PL00277	lines	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
3	PL00303	unchar-2470	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
4	PL00393	unchar-12323	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
5	PL00403	cc038-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
6	PL00432	rtbs-166	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
7	PL00549	unchar-22387	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
8	PL00558	unchar-6953	Parliv	grey60	blastula_gastrula_pluteus_not_prism
9	PL00627	ir3ip	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
10	PL00715	vp33b	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
11	PL00823	asns-4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
12	PL00886	cdk7-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
13	PL00902	adfp	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
14	PL00904	ei2be	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
15	PL00939	zbt21	Parliv	grey60	blastula_gastrula_pluteus_not_prism
16	PL00989	vps33b	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
17	PL01082	cog1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
18	PL01128	unchar-9472	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
19	PL01150	pex11b	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
20	PL01248	cdk7-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
21	PL01263	fa96a	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
22	PL01294	unchar-19952	Parliv	grey60	blastula_gastrula_pluteus_not_prism
23	PL01332	dhrs11l-1	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
24	PL01378	aldh7a1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
25	PL01388	fucta-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
26	PL01426	wdr41	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
27	PL01508	unchar-13557	Parliv	grey60	blastula_gastrula_pluteus_not_prism
28	PL01570	psa4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
29	PL01609	c1qt4	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
30	PL01623	snx2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
31	PL01659	fastkd5	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
32	PL01732	uba6	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
33	PL01844	bpr	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
