s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
PL08765	13850434	chrom1	202	LOC100888948	30125240	scaffold_6	668
PL08793	36907971	chrom1	621	LOC100891336	39844250	scaffold_6	812
PL11281	53703371	chrom1	907	LOC115930046	54724889	scaffold_6	1095
PL10452	55496411	chrom1	944	LOC115929880	32974047	scaffold_6	705
PL11010	72446895	chrom1	1251	LOC105439624	21323287	scaffold_6	495
PL08652	72484414	chrom1	1252	LOC115919402	12682470	scaffold_6	297
PL09352	79951526	chrom1	1372	LOC575020	28790008	scaffold_6	638
PL08958	266893	chrom1	0	LOC105437515	19044219	scaffold_1	1411
PL10401	316174	chrom1	1	LOC105437514	19001247	scaffold_1	1410
PL08239	345437	chrom1	2	LOC105437513	18977938	scaffold_1	1409
PL10354	403060	chrom1	3	LOC590592	18931251	scaffold_1	1408
PL10939	414416	chrom1	4	LOC105445620	18115431	scaffold_1	1405
PL10718	437289	chrom1	5	LOC578497	18032294	scaffold_1	1404
PL09682	481490	chrom1	6	LOC593604	17997863	scaffold_1	1403
PL08723	492359	chrom1	7	LOC589156	17932100	scaffold_1	1402
PL10773	582457	chrom1	8	LOC763076	17893456	scaffold_1	1401
PL09400	664156	chrom1	9	LOC580425	17659467	scaffold_1	1399
PL09412	738838	chrom1	10	LOC100892303	17631524	scaffold_1	1398
PL08941	742979	chrom1	11	LOC589139	17614950	scaffold_1	1397
PL09221	751605	chrom1	12	LOC585806	17603412	scaffold_1	1396
PL09898	755437	chrom1	13	LOC100892517	17573661	scaffold_1	1394
PL10491	804701	chrom1	14	LOC115921260	17527487	scaffold_1	1393
PL11108	821213	chrom1	15	LOC763325	17514110	scaffold_1	1392
PL10454	827067	chrom1	16	usf1	17510330	scaffold_1	1391
PL08656	847678	chrom1	17	LOC115920951	17490179	scaffold_1	1390
PL10031	917303	chrom1	18	LOC582422	17483448	scaffold_1	1389
PL10405	1035389	chrom1	19	LOC582560	17188174	scaffold_1	1388
PL10611	1044494	chrom1	20	LOC593886	17136029	scaffold_1	1387
PL10351	1136837	chrom1	21	LOC753380	17094885	scaffold_1	1386
PL09234	1175115	chrom1	22	LOC763122	17060764	scaffold_1	1385
PL10709	1194214	chrom1	23	LOC100889018	17033932	scaffold_1	1384
PL08818	1684442	chrom1	24	LOC100888196	15321375	scaffold_1	1375
PL11339	1684598	chrom1	25	LOC115920936	15346394	scaffold_1	1376
PL10619	1804264	chrom1	26	LOC115918428	34171654	scaffold_1	1516
PL10826	1825948	chrom1	27	LOC582152	34175704	scaffold_1	1517
PL08522	1868580	chrom1	28	LOC115921070	34213275	scaffold_1	1518
PL09503	1883076	chrom1	29	Chk1	34604767	scaffold_1	1519
PL09060	1902812	chrom1	30	LOC592962	34627542	scaffold_1	1520
PL10357	1927964	chrom1	31	LOC100890311	34654421	scaffold_1	1521
PL08773	1928752	chrom1	32	LOC592278	34654695	scaffold_1	1522
PL08340	2013271	chrom1	33	LOC105443556	34721254	scaffold_1	1523
PL11154	2031214	chrom1	34	LOC105437950	37330851	scaffold_1	1527
PL11361	2138043	chrom1	35	LOC105444504	34836633	scaffold_1	1524
PL09712	2193778	chrom1	36	LOC583230	37473552	scaffold_1	1528
PL10165	2230945	chrom1	37	LOC594061	37477501	scaffold_1	1529
PL09348	2290175	chrom1	38	LOC590800	35077279	scaffold_1	1525
PL08172	2298735	chrom1	39	LOC105445455	38018710	scaffold_1	1530
PL09707	2725555	chrom1	40	LOC115921365	38935009	scaffold_1	1532
PL10042	2890238	chrom1	41	LOC105439723	39157106	scaffold_1	1533
PL10203	2896841	chrom1	42	LOC752732	39157821	scaffold_1	1534
PL08525	2939698	chrom1	43	LOC115918430	39229714	scaffold_1	1536
PL10445	2973592	chrom1	44	LOC593381	39259030	scaffold_1	1537
PL10734	3013341	chrom1	45	LOC589155	39290753	scaffold_1	1538
PL09321	3059513	chrom1	46	LOC752582	39343839	scaffold_1	1539
PL09230	3072917	chrom1	47	LOC100891295	39349974	scaffold_1	1540
