s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
PL11278	21002488	chrom1	360	L_var_00606	21565356	chr1	275
PL11224	21946201	chrom1	377	L_var_02516	85498115	chr1	1219
PL08040	24892288	chrom1	428	L_var_00314	12599216	chr1	102
PL11138	27532753	chrom1	481	L_var_02713	91652509	chr1	1343
PL09274	33683828	chrom1	574	L_var_00053	2477491	chr1	9
PL08493	13411496	chrom1	191	L_var_04144	41309921	chr2	2026
PL09505	26307893	chrom1	455	L_var_03969	35271494	chr2	1917
PL08439	26310282	chrom1	456	L_var_05371	77153369	chr2	2711
PL09537	27660082	chrom1	485	L_var_05177	72541894	chr2	2584
PL08871	32409345	chrom1	560	L_var_04023	36761978	chr2	1947
PL09847	35379668	chrom1	602	L_var_04203	45365516	chr2	2036
PL08479	39940687	chrom1	678	L_var_05344	76568449	chr2	2692
PL10202	48779741	chrom1	822	L_var_03467	20930300	chr2	1734
PL08185	55969916	chrom1	964	L_var_03571	23902399	chr2	1773
PL09485	72085578	chrom1	1250	L_var_05418	78939725	chr2	2749
PL08988	79799310	chrom1	1374	L_var_05625	84327032	chr2	2889
PL08664	2421349	chrom1	43	L_var_05996	12447453	chr3	3092
PL11034	7891384	chrom1	121	L_var_06380	25894757	chr3	3352
PL08765	13850434	chrom1	201	L_var_05955	10746864	chr3	3066
PL08793	36907971	chrom1	621	L_var_06497	29926356	chr3	3428
PL09087	55109301	chrom1	944	L_var_06496	29920663	chr3	3427
PL09139	60190932	chrom1	1031	L_var_07566	67010386	chr3	4088
PL10847	71869651	chrom1	1247	L_var_06981	47051801	chr3	3698
PL09352	79951526	chrom1	1377	L_var_06412	27015883	chr3	3376
PL08597	29449847	chrom1	515	L_var_07984	7363058	chr4	4273
PL09388	33108583	chrom1	569	L_var_09633	57942531	chr4	4797
PL08050	35118271	chrom1	598	L_var_08577	24503058	chr4	4456
PL10947	36046009	chrom1	606	L_var_09810	63141615	chr4	4841
PL08307	38790329	chrom1	655	L_var_08295	15993293	chr4	4366
PL09917	58204205	chrom1	1007	L_var_08935	35408394	chr4	4571
PL09104	65738838	chrom1	1132	L_var_08443	20488429	chr4	4409
PL10031	917303	chrom1	18	L_var_11228	41506844	chr5	5448
PL10981	7148836	chrom1	109	L_var_10610	20839372	chr5	5224
PL08841	12786597	chrom1	186	L_var_11350	45331156	chr5	5492
PL10785	68661867	chrom1	1194	L_var_10068	4587569	chr5	4937
PL09421	3212376	chrom1	53	L_var_11488	1325821	chr6	5530
PL11020	15469219	chrom1	235	L_var_12041	18996255	chr6	5673
PL08903	62478128	chrom1	1075	L_var_12395	31236285	chr6	5781
PL08909	6417462	chrom1	94	L_var_13457	16777444	chr7	6206
PL09318	6487534	chrom1	95	L_var_13456	16739916	chr7	6205
PL08283	6520597	chrom1	96	L_var_13455	16727107	chr7	6204
PL10132	6574592	chrom1	97	L_var_13232	9353574	chr7	6061
PL11215	6613885	chrom1	98	L_var_13231	9330237	chr7	6060
