s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LOC580777	7653371	scaffold_6	116	BL01688	8427412	BFL_1	228	A
LOC753607	7673560	scaffold_6	117	BL00932	19199810	BFL_1	609	A
LOC115918165	12211426	scaffold_6	195	BL01108	16252486	BFL_1	522	A
LOC115919446	16393924	scaffold_6	254	BL01387	12430836	BFL_1	371	A
LOC575020	28790008	scaffold_6	418	BL01103	16329986	BFL_1	525	A
LOC105436761	39585880	scaffold_6	532	BL01439	11717857	BFL_1	344	A
LOC585585	59517598	scaffold_6	803	BL01665	8731609	BFL_1	238	A
LOC763087	62087086	scaffold_6	838	BL00738	22931384	BFL_1	658	A
LOC588772	26260	scaffold_6	0	BL07729	25587219	BFL_2	1391	J2
LOC589605	3980754	scaffold_6	54	BL03446	2312368	BFL_2	858	C1
LOC581748	4939499	scaffold_6	71	BL03450	2188824	BFL_2	854	C1
LOC373388	8802536	scaffold_6	133	BL07133	16270664	BFL_2	1094	C1
LOC580429	8803793	scaffold_6	134	BL07132	16254533	BFL_2	1093	C1
LOC581305	17233947	scaffold_6	265	BL07913	28831337	BFL_2	1447	C1
LOC577746	21092676	scaffold_6	320	BL07367	19926284	BFL_2	1205	C1
LOC100890521	21240608	scaffold_6	324	BL07275	18520285	BFL_2	1161	C1
LOC579051	21735940	scaffold_6	333	BL22507	4439296	BFL_2	883	C1
LOC100893789	40481185	scaffold_6	551	BL07189	16955303	BFL_2	1118	C1
LOC580120	49830742	scaffold_6	666	BL07534	22353865	BFL_2	1290	C1
LOC100888473	50049620	scaffold_6	671	BL15932	8679400	BFL_2	950	C1
LOC581660	50322506	scaffold_6	679	BL07625	23575798	BFL_2	1334	C1
LOC100889889	51719207	scaffold_6	695	BL25201	33932068	BFL_2	1523	C1
LOC592144	58813901	scaffold_6	791	BL25347	30309718	BFL_2	1477	C1
LOC578412	2016245	scaffold_6	28	BL08097	32349051	BFL_4	2122	I
LOC591730	3159751	scaffold_6	40	BL21501	19550796	BFL_4	1913	I
LOC578693	4796638	scaffold_6	67	BL22067	10290135	BFL_4	1685	O1
LOC589012	5942459	scaffold_6	90	BL21869	13868062	BFL_4	1775	I
LOC583151	15051319	scaffold_6	237	BL16460	6269796	BFL_4	1620	O1
LOC576218	21517953	scaffold_6	328	BL21663	17190492	BFL_4	1852	I
LOC586201	21790753	scaffold_6	335	BL18830	30280402	BFL_4	2093	I
LOC764711	24887146	scaffold_6	367	BL21563	18528291	BFL_4	1888	O1
LOC100888817	26466112	scaffold_6	379	BL17572	33054692	BFL_4	2135	I
LOC591844	31931463	scaffold_6	451	BL21806	15060662	BFL_4	1798	I
LOC579391	37323463	scaffold_6	512	BL22250	7807426	BFL_4	1641	O1
LOC575381	40328048	scaffold_6	547	BL16563	4537445	BFL_4	1598	O1
LOC593008	42861157	scaffold_6	598	BL21909	13038250	BFL_4	1759	I
LOC592246	46633779	scaffold_6	628	BL16434	25527190	BFL_4	2037	I
LOC591150	56357	scaffold_6	2	BL20115	9346610	BFL_3	2222	C2
oaz1	126558	scaffold_6	3	BL15493	16250501	BFL_3	2351	C2
LOC100892829	194944	scaffold_6	4	BL15636	13803526	BFL_3	2304	C2
Sp	428303	scaffold_6	8	BL13279	7135643	BFL_3	2194	C2
LOC100887880	2012423	scaffold_6	27	BL15507	16047485	BFL_3	2347	C2
LOC578539	2106587	scaffold_6	30	BL15772	11668169	BFL_3	2257	C2
LOC586173	3264287	scaffold_6	43	BL16764	2355409	BFL_3	2166	C2
LOC586198	3292907	scaffold_6	44	BL15580	14816996	BFL_3	2316	C2
LOC100888145	3530792	scaffold_6	47	BL16727	2958032	BFL_3	2178	C2
LOC580635	3914742	scaffold_6	53	BL15522	15714306	BFL_3	2339	C2
LOC580010	4091801	scaffold_6	58	BL16798	1697149	BFL_3	2161	C2
LOC763089	4379315	scaffold_6	60	BL16747	2524385	BFL_3	2170	C2
