s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
LOC100890072	8979879	scaffold_6	220	L_var_02171	74038894	chr1	1075
LOC115919474	18898994	scaffold_6	465	L_var_00737	26064218	chr1	361
LOC105443402	37089697	scaffold_6	806	L_var_00863	30195597	chr1	393
LOC115919327	41243221	scaffold_6	894	L_var_00155	6437525	chr1	31
LOC105440455	43059230	scaffold_6	947	L_var_02459	82836033	chr1	1280
LOC100890035	47031486	scaffold_6	1002	L_var_02591	87877145	chr1	1372
LOC100889035	53316733	scaffold_6	1141	L_var_00808	28536943	chr1	379
gnaq	7533659	scaffold_6	184	L_var_03322	15732812	chr2	1753
LOC100889702	28938142	scaffold_6	668	L_var_05376	77220707	chr2	2849
REJ3	41536415	scaffold_6	902	L_var_03763	29395206	chr2	1947
LOC105445810	60592309	scaffold_6	1305	L_var_05243	74296876	chr2	2758
LOC588772	26260	scaffold_6	0	L_var_07612	68640692	chr3	4356
LOC100889410	26273	scaffold_6	1	L_var_07611	68640489	chr3	4355
LOC591150	56357	scaffold_6	2	L_var_07610	68623196	chr3	4354
oaz1	126558	scaffold_6	3	L_var_07609	68579549	chr3	4353
LOC105437164	182826	scaffold_6	4	L_var_07318	58676817	chr3	4158
LOC755292	241545	scaffold_6	5	L_var_07792	75064137	chr3	4473
LOC590595	247422	scaffold_6	6	L_var_07794	75110855	chr3	4474
LOC580371	316028	scaffold_6	7	L_var_07796	75408413	chr3	4475
Sp	428303	scaffold_6	8	L_var_07787	74919889	chr3	4472
LOC593968	439407	scaffold_6	9	L_var_07786	74874489	chr3	4471
LOC580253	464296	scaffold_6	10	L_var_07784	74729747	chr3	4469
LOC105440462	503254	scaffold_6	11	L_var_07412	61767532	chr3	4210
LOC580188	522388	scaffold_6	12	L_var_07413	61804194	chr3	4211
LOC580128	542078	scaffold_6	13	L_var_07414	61829673	chr3	4212
LOC577037	545218	scaffold_6	14	L_var_07415	61843695	chr3	4213
LOC100888512	589156	scaffold_6	15	L_var_07417	61898444	chr3	4214
LOC579833	668348	scaffold_6	16	L_var_07418	62048967	chr3	4215
LOC100888387	710453	scaffold_6	17	L_var_07430	62419114	chr3	4224
LOC100893273	726117	scaffold_6	18	L_var_07429	62382967	chr3	4223
LOC764101	742142	scaffold_6	19	L_var_07428	62361133	chr3	4222
LOC100893430	749690	scaffold_6	20	L_var_07427	62351544	chr3	4221
LOC579510	793278	scaffold_6	21	L_var_07424	62258897	chr3	4220
LOC762765	879462	scaffold_6	22	L_var_07423	62164308	chr3	4219
LOC100893717	890748	scaffold_6	23	L_var_07422	62144541	chr3	4218
LOC100893986	899631	scaffold_6	24	L_var_07420	62117189	chr3	4217
LOC764057	922642	scaffold_6	25	L_var_07419	62057265	chr3	4216
LOC115919258	927876	scaffold_6	26	L_var_06592	33307374	chr3	3680
LOC575557	947018	scaffold_6	27	L_var_07476	64032847	chr3	4258
LOC575490	1005073	scaffold_6	28	L_var_07478	64138547	chr3	4259
LOC105437930	1024833	scaffold_6	29	L_var_07479	64184630	chr3	4260
LOC575692	1027149	scaffold_6	30	L_var_07333	59231134	chr3	4171
LOC105437929	1049664	scaffold_6	31	L_var_07331	59165720	chr3	4170
LOC105441804	1130428	scaffold_6	32	L_var_07502	64926022	chr3	4279
LOC105441802	1278121	scaffold_6	33	L_var_07501	64861784	chr3	4278
LOC763528	1343059	scaffold_6	34	L_var_07498	64726431	chr3	4277
LOC105447434	1608383	scaffold_6	35	L_var_07497	64713207	chr3	4276
LOC115918104	1622862	scaffold_6	36	L_var_07495	64687453	chr3	4275
LOC763576	1641319	scaffold_6	37	L_var_07494	64678681	chr3	4274
LOC577677	1659082	scaffold_6	38	L_var_07493	64623797	chr3	4273
LOC577743	1715568	scaffold_6	39	L_var_07492	64591750	chr3	4272
LOC763611	1721488	scaffold_6	40	L_var_07491	64572840	chr3	4271
LOC588015	1751064	scaffold_6	41	L_var_07490	64545945	chr3	4270
LOC577803	1751129	scaffold_6	42	L_var_07489	64545665	chr3	4269
LOC577941	1809742	scaffold_6	43	L_var_07488	64488703	chr3	4268
LOC578013	1811569	scaffold_6	44	L_var_07487	64479249	chr3	4267
LOC578087	1839521	scaffold_6	45	L_var_07486	64424228	chr3	4266
LOC578138	1842175	scaffold_6	46	L_var_07485	64368098	chr3	4265
LOC100889554	1912450	scaffold_6	47	L_var_07484	64294035	chr3	4264
LOC578344	1993092	scaffold_6	48	L_var_07482	64221814	chr3	4263
LOC757129	1993324	scaffold_6	49	L_var_07481	64216892	chr3	4262
LOC100887880	2012423	scaffold_6	50	L_var_07480	64210988	chr3	4261
LOC578539	2106587	scaffold_6	51	L_var_06081	15754994	chr3	3300
LOC578647	2198128	scaffold_6	52	L_var_06083	15817376	chr3	3301
LOC757247	2203484	scaffold_6	53	L_var_06085	15833105	chr3	3302
LOC584452	2277646	scaffold_6	54	L_var_06088	15927837	chr3	3303
LOC548615	2388165	scaffold_6	55	L_var_06089	16006498	chr3	3304
LOC579780	2422772	scaffold_6	56	L_var_06090	16097049	chr3	3305
LOC764317	2434417	scaffold_6	57	L_var_06091	16136217	chr3	3306
LOC592479	2437328	scaffold_6	58	L_var_06094	16149884	chr3	3307
LOC592456	2452391	scaffold_6	59	L_var_06095	16171382	chr3	3308
LOC115929987	2639838	scaffold_6	60	L_var_06097	16222632	chr3	3309
Nfe2	2709578	scaffold_6	61	L_var_06099	16309934	chr3	3310
LOC574640	2749644	scaffold_6	62	L_var_06101	16382399	chr3	3311
LOC115919365	2758263	scaffold_6	63	L_var_06102	16416288	chr3	3312
LOC115929961	2784297	scaffold_6	64	L_var_06103	16430785	chr3	3313
LOC100889145	2798378	scaffold_6	65	L_var_06104	16435522	chr3	3314
LOC575032	2805733	scaffold_6	66	L_var_06105	16447443	chr3	3315
LOC100889062	2821310	scaffold_6	67	L_var_06108	16533950	chr3	3316
LOC577649	2896325	scaffold_6	68	L_var_06109	16564606	chr3	3317
LOC575561	2901951	scaffold_6	69	L_var_06110	16582454	chr3	3318
LOC100887851	2981233	scaffold_6	70	L_var_06111	16687478	chr3	3319
