s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
PL09412	738838	chrom1	2	BL00686	27909217	BFL_1	747	A
PL10454	827067	chrom1	6	BL01467	11407153	BFL_1	319	A
PL10405	1035389	chrom1	7	BL00787	21957910	BFL_1	632	A
PL10611	1044494	chrom1	8	BL00837	20660620	BFL_1	621	A
PL10619	1804264	chrom1	11	BL01961	4574701	BFL_1	83	A
PL09503	1883076	chrom1	13	BL14686	23689507	BFL_1	668	A
PL10357	1927964	chrom1	15	BL01698	8212404	BFL_1	218	A
PL08773	1928752	chrom1	16	BL01697	8298487	BFL_1	219	A
PL08340	2013271	chrom1	17	BL01953	4661711	BFL_1	87	A
PL11154	2031214	chrom1	18	BL01737	7847053	BFL_1	201	A
PL11361	2138043	chrom1	19	BL00717	27291712	BFL_1	737	A
PL10165	2230945	chrom1	21	BL01096	16435958	BFL_1	512	A
PL10203	2896841	chrom1	22	BL01946	4810165	BFL_1	91	A
PL10445	2973592	chrom1	23	BL00640	28727342	BFL_1	767	A
PL10734	3013341	chrom1	24	BL00724	27166709	BFL_1	734	A
PL09230	3072917	chrom1	25	BL01118	16123760	BFL_1	497	A
PL08198	3350507	chrom1	27	BL01060	17114887	BFL_1	524	A
PL10624	4235492	chrom1	30	BL00833	20741171	BFL_1	622	A
PL10075	4325684	chrom1	31	BL01066	16888266	BFL_1	523	A
PL11125	4659042	chrom1	32	BL01067	16841409	BFL_1	522	A
PL08749	4875994	chrom1	33	BL14684	23672615	BFL_1	666	A
PL09967	4888258	chrom1	34	BL01942	4852948	BFL_1	95	A
PL08323	5377100	chrom1	36	BL06525	32369971	BFL_1	800	A
PL08120	5920070	chrom1	38	BL01280	14010426	BFL_1	414	A
PL09129	6062965	chrom1	40	BL25530	3435500	BFL_1	53	A
PL09784	6117221	chrom1	41	BL01924	5283809	BFL_1	109	A
PL08347	6407104	chrom1	42	BL01954	4648250	BFL_1	86	A
PL08909	6417462	chrom1	43	BL01350	12814125	BFL_1	377	A
PL08283	6520597	chrom1	44	BL01137	15813990	BFL_1	492	A
PL11215	6613885	chrom1	46	BL22447	25996251	BFL_1	720	A
PL08687	6655831	chrom1	47	BL12990	759177	BFL_1	12	A
PL08000	6677623	chrom1	48	BL12989	770991	BFL_1	13	A
PL08553	6710093	chrom1	49	BL22389	24680874	BFL_1	693	A
PL11298	6790020	chrom1	50	BL01705	8140529	BFL_1	217	A
PL08408	6845211	chrom1	51	BL01450	11597505	BFL_1	326	A
PL08128	6886520	chrom1	52	BL25592	2137890	BFL_1	36	A
PL10553	6892041	chrom1	53	BL25593	2132899	BFL_1	35	A
PL10590	6905980	chrom1	54	BL14178	1873052	BFL_1	32	A
PL10955	6978846	chrom1	55	BL01560	10254813	BFL_1	275	A
PL09853	7272537	chrom1	56	BL01561	10214914	BFL_1	274	A
PL09168	7378623	chrom1	57	BL01562	10197774	BFL_1	273	A
PL09776	7507103	chrom1	58	BL01191	15172429	BFL_1	463	A
PL09841	7606625	chrom1	59	BL01434	11758225	BFL_1	335	A
PL10434	7658459	chrom1	60	BL25565	2484866	BFL_1	38	A
PL08083	7658501	chrom1	61	BL25567	2447071	BFL_1	37	A
PL09931	7681366	chrom1	62	BL00995	18061393	BFL_1	560	A
PL10511	7730634	chrom1	63	BL01652	8887334	BFL_1	236	A
PL09308	7825963	chrom1	64	BL14696	23834457	BFL_1	676	A
PL10094	7844345	chrom1	66	BL01375	12517753	BFL_1	359	A
PL10345	8026331	chrom1	67	BL01918	5409972	BFL_1	113	A
PL10163	8205670	chrom1	68	BL01919	5349027	BFL_1	112	A
PL11060	8258889	chrom1	69	BL00937	19070808	BFL_1	585	A
PL10416	8352601	chrom1	70	BL01920	5340038	BFL_1	111	A
PL11208	8517361	chrom1	71	BL01577	9987096	BFL_1	271	A
PL11353	8871884	chrom1	72	BL01536	10503507	BFL_1	284	A
PL09477	8914109	chrom1	73	BL00962	18491431	BFL_1	577	A
PL09106	9004824	chrom1	74	BL00596	29556194	BFL_1	785	A
PL09643	9016559	chrom1	75	BL01535	10535562	BFL_1	285	A
PL09270	9054574	chrom1	76	BL01600	9585397	BFL_1	262	A
PL11079	9074753	chrom1	77	BL01601	9578074	BFL_1	261	A
PL11272	9176170	chrom1	79	BL01896	5731113	BFL_1	121	A
PL09848	9334314	chrom1	80	BL00667	28165828	BFL_1	756	A
PL10966	9659550	chrom1	82	BL01252	14483983	BFL_1	429	A
PL09605	9831753	chrom1	83	BL00756	22588889	BFL_1	641	A
