s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	s1tot	s2tot	n	fishp	padj	scol
1	PL11278	21002488	chrom1	360	L_var_00606	21565356	chr1	275	NA	1380	1390	5	1	1	NS
2	PL11224	21946201	chrom1	377	L_var_02516	85498115	chr1	1219	A	1380	1390	5	1	1	NS
3	PL08040	24892288	chrom1	428	L_var_00314	12599216	chr1	102	F	1380	1390	5	1	1	NS
4	PL11138	27532753	chrom1	481	L_var_02713	91652509	chr1	1343	NA	1380	1390	5	1	1	NS
5	PL09274	33683828	chrom1	574	L_var_00053	2477491	chr1	9	NA	1380	1390	5	1	1	NS
6	PL08493	13411496	chrom1	191	L_var_04144	41309921	chr2	2026	NA	1380	1448	11	1	1	NS
7	PL09505	26307893	chrom1	455	L_var_03969	35271494	chr2	1917	A	1380	1448	11	1	1	NS
8	PL08439	26310282	chrom1	456	L_var_05371	77153369	chr2	2711	NA	1380	1448	11	1	1	NS
9	PL09537	27660082	chrom1	485	L_var_05177	72541894	chr2	2584	NA	1380	1448	11	1	1	NS
10	PL08871	32409345	chrom1	560	L_var_04023	36761978	chr2	1947	NA	1380	1448	11	1	1	NS
11	PL09847	35379668	chrom1	602	L_var_04203	45365516	chr2	2036	NA	1380	1448	11	1	1	NS
12	PL08479	39940687	chrom1	678	L_var_05344	76568449	chr2	2692	NA	1380	1448	11	1	1	NS
13	PL10202	48779741	chrom1	822	L_var_03467	20930300	chr2	1734	NA	1380	1448	11	1	1	NS
14	PL08185	55969916	chrom1	964	L_var_03571	23902399	chr2	1773	NA	1380	1448	11	1	1	NS
15	PL09485	72085578	chrom1	1250	L_var_05418	78939725	chr2	2749	NA	1380	1448	11	1	1	NS
16	PL08988	79799310	chrom1	1374	L_var_05625	84327032	chr2	2889	NA	1380	1448	11	1	1	NS
17	PL08664	2421349	chrom1	43	L_var_05996	12447453	chr3	3092	NA	1380	1317	8	1	1	NS
18	PL11034	7891384	chrom1	121	L_var_06380	25894757	chr3	3352	NA	1380	1317	8	1	1	NS
19	PL08765	13850434	chrom1	201	L_var_05955	10746864	chr3	3066	NA	1380	1317	8	1	1	NS
20	PL08793	36907971	chrom1	621	L_var_06497	29926356	chr3	3428	NA	1380	1317	8	1	1	NS
21	PL09087	55109301	chrom1	944	L_var_06496	29920663	chr3	3427	NA	1380	1317	8	1	1	NS
22	PL09139	60190932	chrom1	1031	L_var_07566	67010386	chr3	4088	NA	1380	1317	8	1	1	NS
23	PL10847	71869651	chrom1	1247	L_var_06981	47051801	chr3	3698	NA	1380	1317	8	1	1	NS
24	PL09352	79951526	chrom1	1377	L_var_06412	27015883	chr3	3376	A	1380	1317	8	1	1	NS
25	PL08597	29449847	chrom1	515	L_var_07984	7363058	chr4	4273	A	1380	601	7	1	1	NS
26	PL09388	33108583	chrom1	569	L_var_09633	57942531	chr4	4797	NA	1380	601	7	1	1	NS
27	PL08050	35118271	chrom1	598	L_var_08577	24503058	chr4	4456	NA	1380	601	7	1	1	NS
28	PL10947	36046009	chrom1	606	L_var_09810	63141615	chr4	4841	NA	1380	601	7	1	1	NS
29	PL08307	38790329	chrom1	655	L_var_08295	15993293	chr4	4366	NA	1380	601	7	1	1	NS
30	PL09917	58204205	chrom1	1007	L_var_08935	35408394	chr4	4571	NA	1380	601	7	1	1	NS
31	PL09104	65738838	chrom1	1132	L_var_08443	20488429	chr4	4409	NA	1380	601	7	1	1	NS
32	PL10031	917303	chrom1	18	L_var_11228	41506844	chr5	5448	NA	1380	654	4	1	1	NS
33	PL10981	7148836	chrom1	109	L_var_10610	20839372	chr5	5224	NA	1380	654	4	1	1	NS
34	PL08841	12786597	chrom1	186	L_var_11350	45331156	chr5	5492	NA	1380	654	4	1	1	NS
35	PL10785	68661867	chrom1	1194	L_var_10068	4587569	chr5	4937	NA	1380	654	4	1	1	NS
36	PL09421	3212376	chrom1	53	L_var_11488	1325821	chr6	5530	NA	1380	319	3	0.999999999996625	1	NS
37	PL11020	15469219	chrom1	235	L_var_12041	18996255	chr6	5673	NA	1380	319	3	0.999999999996625	1	NS
38	PL08903	62478128	chrom1	1075	L_var_12395	31236285	chr6	5781	NA	1380	319	3	0.999999999996625	1	NS
39	PL08909	6417462	chrom1	94	L_var_13457	16777444	chr7	6206	A	1380	999	971	0	0	S
40	PL09318	6487534	chrom1	95	L_var_13456	16739916	chr7	6205	NA	1380	999	971	0	0	S
41	PL08283	6520597	chrom1	96	L_var_13455	16727107	chr7	6204	A	1380	999	971	0	0	S
42	PL10132	6574592	chrom1	97	L_var_13232	9353574	chr7	6061	B3	1380	999	971	0	0	S
43	PL11215	6613885	chrom1	98	L_var_13231	9330237	chr7	6060	A	1380	999	971	0	0	S
44	PL08687	6655831	chrom1	99	L_var_13230	9285904	chr7	6059	A	1380	999	971	0	0	S
45	PL08000	6677623	chrom1	100	L_var_13229	9284438	chr7	6058	A	1380	999	971	0	0	S
46	PL08240	6693209	chrom1	101	L_var_13228	9217149	chr7	6057	NA	1380	999	971	0	0	S
47	PL08553	6710093	chrom1	102	L_var_13227	9184858	chr7	6056	A	1380	999	971	0	0	S
48	PL11298	6790020	chrom1	103	L_var_13226	9171877	chr7	6055	A	1380	999	971	0	0	S
49	PL08408	6845211	chrom1	104	L_var_13057	3328554	chr7	5945	A	1380	999	971	0	0	S
50	PL08128	6886520	chrom1	105	L_var_13058	3383317	chr7	5946	A	1380	999	971	0	0	S
51	PL10590	6905980	chrom1	106	L_var_13060	3439322	chr7	5947	A	1380	999	971	0	0	S
