s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
L_var_00265	10501717	chr1	41	g100868	56269404	scaffold_18	619	H+Q
L_var_00287	11197393	chr1	47	g91637	11874926	scaffold_18	99	H+Q
L_var_00291	11321915	chr1	49	g90787	7860160	scaffold_18	55	H+Q
L_var_00419	16279729	chr1	87	g95793	32715174	scaffold_18	337	H+Q
L_var_01372	48785500	chr1	388	g94647	26298865	scaffold_18	271	H+Q
L_var_01643	57784470	chr1	473	g95525	31192568	scaffold_18	317	H+Q
L_var_02486	83728647	chr1	689	g98133	44350404	scaffold_18	481	H+Q
L_var_02504	84785932	chr1	698	g96805	37694288	scaffold_18	408	H+Q
L_var_02644	89505125	chr1	739	g95064	28737680	scaffold_18	294	H+Q
L_var_00523	19275507	chr1	142	g130385	14170557	scaffold_2	788	B2+M
L_var_01132	38930733	chr1	327	g130819	16080722	scaffold_2	811	B2+M
L_var_01213	41343716	chr1	360	g137939	49473011	scaffold_2	1110	B2+M
L_var_01578	55576145	chr1	453	g130308	13890544	scaffold_2	780	B2+M
L_var_02045	70104149	chr1	565	g127739	1522942	scaffold_2	661	B2+M
L_var_02526	86117732	chr1	709	g129035	7856344	scaffold_2	720	B2+M
L_var_02534	86411809	chr1	712	g138848	53701878	scaffold_2	1151	B2+M
L_var_01054	35957647	chr1	292	g163346	48372864	scaffold_4	1786	A1
L_var_01100	37884634	chr1	313	g155450	8817846	scaffold_4	1271	A1
L_var_01268	43270002	chr1	375	g160477	33254855	scaffold_4	1613	A1
L_var_01473	52645505	chr1	418	g161860	40107234	scaffold_4	1713	A1
L_var_02516	85498115	chr1	705	g163254	47756865	scaffold_4	1781	A1
L_var_02628	88938663	chr1	737	g159126	26612131	scaffold_4	1544	A1
L_var_00525	19323420	chr1	144	g69432	9580739	scaffold_16	1951	L+J
L_var_00659	23284218	chr1	191	g74911	37417038	scaffold_16	2260	L+J
L_var_00736	25831788	chr1	202	g70862	17149690	scaffold_16	2026	L+J
L_var_01717	60364442	chr1	489	g72395	24935794	scaffold_16	2109	L+J
L_var_01837	64016857	chr1	513	g73702	31589350	scaffold_16	2195	L+J
L_var_02083	70782398	chr1	575	g73205	29431240	scaffold_16	2170	L+J
L_var_02154	73486540	chr1	593	g72678	26558084	scaffold_16	2131	L+J
L_var_02448	82447402	chr1	670	g73950	32664179	scaffold_16	2211	L+J
L_var_00526	19367371	chr1	145	g108892	30127587	scaffold_19	2687	K
L_var_00839	29689647	chr1	214	g104750	9971478	scaffold_19	2480	K
L_var_01687	59244059	chr1	482	g112484	48392860	scaffold_19	2880	K
