s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	CLG2
BL01877	5944661	BFL_1	129	g93743	22298867	scaffold_18	231	CLGA	CLGA
BL01632	9214118	BFL_1	252	g101199	57609313	scaffold_18	662	CLGA	CLGA
BL01498	10931892	BFL_1	311	g95680	32093344	scaffold_18	356	CLGA	CLGA
BL01382	12456181	BFL_1	362	g98102	44163384	scaffold_18	504	CLGA	CLGA
BL01033	17433949	BFL_1	537	g97853	42749467	scaffold_18	489	CLGA	CLGA
BL00996	18052155	BFL_1	558	g97505	41264151	scaffold_18	476	CLGA	CLGA
BL00922	19323159	BFL_1	596	g89786	2782349	scaffold_18	14	CLGA	CLGA
BL14730	24336604	BFL_1	687	g94346	24948669	scaffold_18	278	CLGA	CLGA
BL22412	25203168	BFL_1	702	g96128	34342708	scaffold_18	392	CLGA	CLGA
BL22415	25240177	BFL_1	703	g100673	55606931	scaffold_18	648	CLGA	CLGA
BL12998	566867	BFL_1	11	g128363	4547226	scaffold_2	729	CLGA	CLGA
BL25517	3682472	BFL_1	56	g136962	45541144	scaffold_2	1167	CLGA	CLGA
BL01984	4227958	BFL_1	73	g132552	24970174	scaffold_2	947	CLGA	CLGA
BL01789	7032836	BFL_1	173	g128157	3464657	scaffold_2	719	CLGA	CLGA
BL01710	8090743	BFL_1	218	g132486	24592136	scaffold_2	945	CLGA	CLGA
BL01688	8427412	BFL_1	227	g138869	53754907	scaffold_2	1248	CLGA	CLGA
BL01583	9843195	BFL_1	274	g130703	15570453	scaffold_2	854	CLGA	CLGA
BL01385	12438118	BFL_1	361	g134871	37509418	scaffold_2	1069	CLGA	CLGA
BL01146	15751823	BFL_1	484	g135187	38750636	scaffold_2	1090	CLGA	CLGA
BL01117	16128432	BFL_1	496	g130699	15564227	scaffold_2	853	CLGA	CLGA
BL01055	17176254	BFL_1	525	g137342	47058796	scaffold_2	1186	CLGA	CLGA
BL00839	20618445	BFL_1	622	g136014	42061865	scaffold_2	1127	CLGA	CLGA
BL00838	20652922	BFL_1	623	g136026	42097244	scaffold_2	1128	CLGA	CLGA
BL00770	22443875	BFL_1	639	g133642	31759045	scaffold_2	1008	CLGA	CLGA
BL01901	2513	BFL_1	0	g156259	12643744	scaffold_4	1437	CLGA	CLGA
BL13032	108863	BFL_1	2	g154648	5339586	scaffold_4	1326	CLGA	CLGA
BL13029	178880	BFL_1	3	g155593	9461450	scaffold_4	1384	CLGA	CLGA
BL13028	206418	BFL_1	4	g155585	9412377	scaffold_4	1383	CLGA	CLGA
BL13021	288152	BFL_1	5	g155424	8741122	scaffold_4	1369	CLGA	CLGA
BL13020	303538	BFL_1	6	g156174	12219334	scaffold_4	1428	CLGA	CLGA
BL13019	305728	BFL_1	7	g154693	5529199	scaffold_4	1336	CLGA	CLGA
BL13013	398613	BFL_1	8	g162368	42849730	scaffold_4	1878	CLGA	CLGA
BL13012	405854	BFL_1	9	g162370	42869170	scaffold_4	1879	CLGA	CLGA
BL13007	486184	BFL_1	10	g162373	42895611	scaffold_4	1880	CLGA	CLGA
BL12995	642744	BFL_1	13	g156398	13328276	scaffold_4	1444	CLGA	CLGA
BL12991	725175	BFL_1	15	g161219	36900781	scaffold_4	1780	CLGA	CLGA
BL12990	759177	BFL_1	16	g161253	37149452	scaffold_4	1781	CLGA	CLGA
BL12989	770991	BFL_1	17	g160095	31583285	scaffold_4	1713	CLGA	CLGA
BL23159	827265	BFL_1	18	g158533	23553931	scaffold_4	1609	CLGA	CLGA
BL23163	882682	BFL_1	19	g155522	9069812	scaffold_4	1377	CLGA	CLGA
BL23164	906666	BFL_1	20	g155518	9061168	scaffold_4	1376	CLGA	CLGA
BL23166	935156	BFL_1	21	g155511	9014416	scaffold_4	1375	CLGA	CLGA
BL23168	960239	BFL_1	22	g164235	52921497	scaffold_4	1974	CLGA	CLGA
BL14207	1260358	BFL_1	24	g158242	22211888	scaffold_4	1589	CLGA	CLGA
