s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
L_var_00465	17696894	chr1	112	BL22422	25440647	BFL_1	689	A
L_var_00489	18184301	chr1	126	BL01358	12713627	BFL_1	358	A
L_var_00620	21809179	chr1	183	BL08281	34256215	BFL_1	784	A
L_var_00758	26689005	chr1	211	BL01967	4456810	BFL_1	74	A
L_var_00969	33171767	chr1	268	BL22428	25678270	BFL_1	693	A
L_var_01029	35308000	chr1	295	BL01484	11093963	BFL_1	302	A
L_var_01045	35725764	chr1	302	BL01485	11085489	BFL_1	301	A
L_var_01046	35735002	chr1	303	BL01846	6382993	BFL_1	139	A
L_var_01054	35957647	chr1	308	BL00610	29348837	BFL_1	757	A
L_var_01268	43270002	chr1	393	BL01318	13421191	BFL_1	382	A
L_var_01361	48303804	chr1	407	BL01438	11730092	BFL_1	321	A
L_var_01432	50903458	chr1	417	BL12994	683269	BFL_1	8	A
L_var_01473	52645505	chr1	438	BL01795	6931966	BFL_1	161	A
L_var_01526	54075088	chr1	461	BL00652	28465598	BFL_1	742	A
L_var_01661	58418056	chr1	516	BL00920	19352704	BFL_1	579	A
L_var_02267	77025804	chr1	652	BL01959	4589432	BFL_1	79	A
L_var_02516	85498115	chr1	753	BL01523	10683264	BFL_1	280	A
L_var_02581	87666795	chr1	777	BL01489	11030598	BFL_1	299	A
L_var_00371	14640195	chr1	82	BL15885	6771105	BFL_2	867	C1
L_var_00525	19323420	chr1	148	BL07593	23129048	BFL_2	1235	C1
L_var_00966	33141772	chr1	267	BL07594	23142865	BFL_2	1236	C1
L_var_01065	36392301	chr1	316	BL07772	26325516	BFL_2	1327	C1
L_var_01435	51046778	chr1	420	BL03858	9255957	BFL_2	907	C1
L_var_01502	53461222	chr1	450	BL07151	16481512	BFL_2	1037	C1
L_var_01515	53905039	chr1	457	BL03477	1783762	BFL_2	807	C1
L_var_01565	55201316	chr1	479	BL07583	23024243	BFL_2	1233	C1
L_var_01712	60180028	chr1	521	BL17933	202182	BFL_2	796	C1
L_var_01901	66561893	chr1	552	BL07217	17265618	BFL_2	1068	C1
L_var_02010	69244191	chr1	572	BL07485	21670562	BFL_2	1186	C1
L_var_02014	69283132	chr1	574	BL07489	21713275	BFL_2	1187	C1
L_var_02019	69338465	chr1	575	BL07490	21715347	BFL_2	1188	C1
L_var_02237	76199925	chr1	644	BL07053	14799581	BFL_2	997	J2
L_var_02273	77218962	chr1	655	BL03529	615947	BFL_2	797	C1
L_var_02293	77867889	chr1	663	BL07403	20531688	BFL_2	1156	C1
L_var_02543	86665887	chr1	763	BL07187	16937064	BFL_2	1053	C1
L_var_02607	88390082	chr1	787	BL25229	33317734	BFL_2	1424	C1
L_var_02624	88870089	chr1	792	BL07065	15151197	BFL_2	1000	J2
L_var_02658	89944476	chr1	799	BL07048	14750437	BFL_2	994	J2
L_var_02774	94329405	chr1	841	BL25306	31416910	BFL_2	1406	C1
L_var_00266	10503945	chr1	43	BL21364	21815964	BFL_4	1858	I
L_var_00414	16138198	chr1	90	BL21987	11584719	BFL_4	1601	I
L_var_00420	16286119	chr1	92	BL21790	15229286	BFL_4	1691	I
L_var_00522	19275491	chr1	145	BL22111	9680872	BFL_4	1565	O1
L_var_01059	36171415	chr1	311	BL22165	9048201	BFL_4	1549	O1
L_var_01083	37302434	chr1	321	BL21750	15961465	BFL_4	1708	I
L_var_01194	40625588	chr1	370	BL09687	23465045	BFL_4	1886	I
L_var_01237	42173671	chr1	386	BL22281	7370651	BFL_4	1525	O1
L_var_01359	48064839	chr1	406	BL21611	17921400	BFL_4	1756	O1
L_var_01474	52645700	chr1	439	BL16524	5129825	BFL_4	1502	O1
L_var_01513	53866224	chr1	456	BL21824	14578582	BFL_4	1678	I
L_var_01562	55154181	chr1	477	BL09655	24100400	BFL_4	1895	I
L_var_01571	55330959	chr1	482	BL22016	11188104	BFL_4	1594	O1
L_var_02033	69761738	chr1	580	BL09692	23355254	BFL_4	1883	I
L_var_02641	89419985	chr1	794	BL21306	23060401	BFL_4	1881	I
L_var_00362	14455264	chr1	80	BL15256	21138724	BFL_3	2285	Q
L_var_00480	17972309	chr1	119	BL15726	12607070	BFL_3	2124	C2
L_var_00690	24374886	chr1	196	BL15151	23385053	BFL_3	2310	Q
L_var_00712	25019427	chr1	200	BL15424	17857651	BFL_3	2220	Q
L_var_01042	35600846	chr1	299	BL13355	4941022	BFL_3	2045	C2
L_var_01067	36540726	chr1	317	BL25035	31344788	BFL_3	2433	Q
L_var_01154	39424193	chr1	351	BL14840	29067684	BFL_3	2407	Q
L_var_01158	39560087	chr1	354	BL16744	2565667	BFL_3	2029	C2
L_var_01196	40743742	chr1	372	BL14848	28960498	BFL_3	2403	Q
L_var_01346	47361153	chr1	404	BL15727	12598836	BFL_3	2123	C2
L_var_01516	53944377	chr1	458	BL14944	27267228	BFL_3	2374	Q
L_var_01962	68168086	chr1	562	BL15683	13086983	BFL_3	2133	C2
L_var_02049	70167655	chr1	588	BL15564	15016179	BFL_3	2169	C2
L_var_02108	72076047	chr1	610	BL15707	12807467	BFL_3	2126	C2
L_var_02155	73546244	chr1	621	BL15093	24434991	BFL_3	2327	Q
L_var_02207	74906097	chr1	629	BL26745	33867352	BFL_3	2459	Q
L_var_02444	82347710	chr1	712	BL16819	3972886	BFL_3	2042	C2
L_var_02487	83830860	chr1	738	BL15401	18257183	BFL_3	2228	Q
L_var_02509	85261688	chr1	748	BL15063	25121329	BFL_3	2336	Q
L_var_02567	87300578	chr1	771	BL15360	19256060	BFL_3	2248	Q
L_var_02628	88938663	chr1	793	BL15684	13078649	BFL_3	2132	C2
L_var_00157	6519602	chr1	9	BL27932	19817490	BFL_5	2816	E
L_var_00291	11321915	chr1	51	BL27811	17548221	BFL_5	2759	E
